Arrangement,DRRMH-H-07 1/7,Description,Serial Number,Inventory Item Number,PAR/ICS Number,UPM Property Number,DOST Property Number,DOST-UPM PTR Number,UPS-UPM PTR Number,Specific Location,Remarks
395,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 85/90,,,,Stock Room,
396,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 86/90,,,,Stock Room,
397,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 87/90,,,,Stock Room,
398,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 88/90,,,,Stock Room,
399,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 89/90,,,,Stock Room,
400,UPM DRRM SEMI-Expendable ,Vest for IMT Responders,,,DRRMH-2023-0350,DRRMH-L0699 90/90,,,,Stock Room,
401,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 1/150,,,,Stock Room,
402,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 2/150,,,,Stock Room,
403,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 3/150,,,,Stock Room,
404,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 4/150,,,,Stock Room,
405,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 5/150,,,,Stock Room,
406,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 6/150,,,,Stock Room,
407,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 7/150,,,,Stock Room,
408,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 8/150,,,,Stock Room,
409,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 9/150,,,,Stock Room,
410,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 10/150,,,,Stock Room,
411,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 11/150,,,,Stock Room,
412,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 12/150,,,,Stock Room,
413,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 13/150,,,,Stock Room,
414,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 14/150,,,,Stock Room,
415,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 15/150,,,,Stock Room,
416,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 16/150,,,,Stock Room,
417,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 17/150,,,,Stock Room,
418,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 18/150,,,,Stock Room,
419,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 19/150,,,,Stock Room,
420,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 20/150,,,,Stock Room,
421,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 21/150,,,,Stock Room,
422,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 22/150,,,,Stock Room,
423,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 23/150,,,,Stock Room,
424,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 24/150,,,,Stock Room,
425,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 25/150,,,,Stock Room,
426,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 26/150,,,,Stock Room,
427,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 27/150,,,,Stock Room,
428,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 28/150,,,,Stock Room,
429,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 29/150,,,,Stock Room,
430,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 30/150,,,,Stock Room,
431,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 31/150,,,,Stock Room,
432,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 32/150,,,,Stock Room,
433,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 33/150,,,,Stock Room,
434,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 34/150,,,,Stock Room,
435,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 35/150,,,,Stock Room,
436,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 36/150,,,,Stock Room,
437,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 37/150,,,,Stock Room,
438,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 38/150,,,,Stock Room,
439,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 39/150,,,,Stock Room,
440,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 40/150,,,,Stock Room,
441,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 41/150,,,,Stock Room,
442,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 42/150,,,,Stock Room,
443,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 43/150,,,,Stock Room,
444,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 44/150,,,,Stock Room,
445,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 45/150,,,,Stock Room,
446,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 46/150,,,,Stock Room,
447,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 47/150,,,,Stock Room,
448,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 48/150,,,,Stock Room,
449,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 49/150,,,,Stock Room,
450,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 50/150,,,,Stock Room,
451,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 51/150,,,,Stock Room,
452,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 52/150,,,,Stock Room,
453,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 53/150,,,,Stock Room,
454,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 54/150,,,,Stock Room,
455,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 55/150,,,,Stock Room,
456,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 56/150,,,,Stock Room,
457,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 57/150,,,,Stock Room,
458,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 58/150,,,,Stock Room,
459,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 59/150,,,,Stock Room,
460,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 60/150,,,,Stock Room,
461,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 61/150,,,,Stock Room,
462,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 62/150,,,,Stock Room,
463,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 63/150,,,,Stock Room,
464,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 64/150,,,,Stock Room,
465,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 65/150,,,,Stock Room,
466,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 66/150,,,,Stock Room,
467,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 67/150,,,,Stock Room,
468,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 68/150,,,,Stock Room,
469,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 69/150,,,,Stock Room,
470,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 70/150,,,,Stock Room,
471,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 71/150,,,,Stock Room,
472,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 72/150,,,,Stock Room,
473,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 73/150,,,,Stock Room,
474,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 74/150,,,,Stock Room,
475,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 75/150,,,,Stock Room,
476,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 76/150,,,,Stock Room,
477,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 77/150,,,,Stock Room,
478,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 78/150,,,,Stock Room,
479,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 79/150,,,,Stock Room,
480,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 80/150,,,,Stock Room,
481,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 81/150,,,,Stock Room,
482,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 82/150,,,,Stock Room,
483,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 83/150,,,,Stock Room,
484,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 84/150,,,,Stock Room,
485,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 85/150,,,,Stock Room,
486,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 86/150,,,,Stock Room,
487,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 87/150,,,,Stock Room,
488,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 88/150,,,,Stock Room,
489,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 89/150,,,,Stock Room,
490,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 90/150,,,,Stock Room,
491,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 91/150,,,,Stock Room,
492,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 92/150,,,,Stock Room,
493,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 93/150,,,,Stock Room,
494,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 94/150,,,,Stock Room,
495,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 95/150,,,,Stock Room,
496,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 96/150,,,,Stock Room,
497,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 97/150,,,,Stock Room,
498,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 98/150,,,,Stock Room,
499,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 99/150,,,,Stock Room,
500,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 100/150,,,,Stock Room,
501,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 101/150,,,,Stock Room,
502,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 102/150,,,,Stock Room,
503,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 103/150,,,,Stock Room,
504,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 104/150,,,,Stock Room,
505,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 105/150,,,,Stock Room,
506,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 106/150,,,,Stock Room,
507,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 107/150,,,,Stock Room,
508,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 108/150,,,,Stock Room,
509,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 109/150,,,,Stock Room,
510,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 110/150,,,,Stock Room,
511,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 111/150,,,,Stock Room,
512,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 112/150,,,,Stock Room,
513,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 113/150,,,,Stock Room,
514,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 114/150,,,,Stock Room,
515,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 115/150,,,,Stock Room,
516,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 116/150,,,,Stock Room,
517,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 117/150,,,,Stock Room,
518,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 118/150,,,,Stock Room,
519,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 119/150,,,,Stock Room,
520,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 120/150,,,,Stock Room,
521,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 121/150,,,,Stock Room,
522,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 122/150,,,,Stock Room,
523,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 123/150,,,,Stock Room,
524,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 124/150,,,,Stock Room,
525,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 125/150,,,,Stock Room,
526,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 126/150,,,,Stock Room,
527,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 127/150,,,,Stock Room,
528,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 128/150,,,,Stock Room,
529,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 129/150,,,,Stock Room,
530,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 130/150,,,,Stock Room,
531,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 131/150,,,,Stock Room,
532,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 132/150,,,,Stock Room,
533,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 133/150,,,,Stock Room,
534,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 134/150,,,,Stock Room,
535,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 135/150,,,,Stock Room,
536,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 136/150,,,,Stock Room,
537,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 137/150,,,,Stock Room,
538,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 138/150,,,,Stock Room,
539,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 139/150,,,,Stock Room,
540,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 140/150,,,,Stock Room,
541,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 141/150,,,,Stock Room,
542,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 142/150,,,,Stock Room,
543,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 143/150,,,,Stock Room,
544,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 144/150,,,,Stock Room,
545,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 145/150,,,,Stock Room,
546,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 146/150,,,,Stock Room,
547,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 147/150,,,,Stock Room,
548,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 148/150,,,,Stock Room,
549,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 149/150,,,,Stock Room,
550,UPM DRRM SEMI-Expendable ,Assorted vest customized,,,DRRMH-2022-00092,DRRMH-H-0490 150/150,,,,Stock Room,
551,NICER Project: Simulation-based Learning Laboratory,SMGLV MGLV301e SmartMan Mega code Pro,,,DDRM2021-10-109,NIH-154,,,,Stock Room,
552,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0343,NIH2178 1/10,,,,Stock Room,
553,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0344,NIH2178 2/10,,,,Stock Room,
554,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0345,NIH2178 3/10,,,,Stock Room,
555,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0346,NIH2178 4/10,,,,Stock Room,
556,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0347,NIH2178 5/10,,,,Stock Room,
557,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0348,NIH2178 6/10,,,,Stock Room,
558,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0349,NIH2178 7/10,,,,Hallway,
559,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0350,NIH2178 8/10,,,,Hallway,
560,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0351,NIH2178 9/10,,,,Hallway,
561,NICER Project: Simulation-based Learning Laboratory,Rectangular foldable table 6ft x 2.5ft,,,NIH299-0352,NIH2178 10/10,,,,Hallway,
562,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 1/15,,,,Stock Room,
563,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 2/15,,,,Stock Room,
564,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 3/15,,,,Stock Room,
565,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 4/15,,,,Stock Room,
566,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 5/15,,,,Stock Room,
567,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 6/15,,,,Stock Room,
568,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 7/15,,,,Stock Room,
569,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 8/15,,,,Stock Room,
570,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 9/15,,,,Stock Room,
571,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 10/15,,,,,
572,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 11/15,,,,,
573,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 12/15,,,,,
574,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 13/15,,,,,
575,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 14/15,,,,,
576,UPM DRRM SEMI-Expendable ,Megaphone with rechargeable battery max power output  60W,,,DRRMH-2022-00092,DRRMH-H-0498 15/15,,,,Oliver's Cubicle,
577,NICER Project: Simulation-based Learning Laboratory,Megaphone with Rechargeable batteries,,,NIH2019-0322,NIH154,,,,Stock Room,
578,NICER Project: Simulation-based Learning Laboratory,Megaphone with Rechargeable batteries,,,209-0322,2154,,,,,
579,NICER Project: Simulation-based Learning Laboratory,Crown Pro 5008R Portable Sound System,,,2019-0188,1993,,,,Stock Room,
580,NICER Project: Simulation-based Learning Laboratory,Turbo Vaccum w/ 1 extra vaccum filter,,,NIH2021-224,NIHS-257,,,,Stock Room,
581,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2179 1/6,,,,Silver Room,Broken
582,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2179 1/3,,,,Silver Room,Broken
583,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2179 1/2,,,,Silver Room,
584,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2179 2/3,,,,Gold Room,
585,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2179 5/6,,,,Silver Room,
586,NICER Project: Simulation-based Learning Laboratory,Commercial Clothing Rack Single Pole gament rack,,,NIH2019-0344,2180    ,,,,,
587,NICER Project: Simulation-based Learning Laboratory,Whiteboard with Corkboard,,,NIH2019-0330,NIH2163,,,,Stock Room,
588,NICER Project: Simulation-based Learning Laboratory,Luggage,,,2019-0325,2157,,,,Stock Room,
589,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (64sq. Ft.),,,NIH2021-212,NIH-235 1/5,,,,Stock Room,
590,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (64sq. Ft.),,,NIH2021-212,NIH-235 2/5,,,,Stock Room,
591,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (64sq. Ft.),,,NIH2021-212,NIH-235 3/5,,,,Conference Room,
592,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (64sq. Ft.),,,NIH2021-212,NIH-235 4/5,,,,Conference Room,
593,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (64sq. Ft.),,,NIH2021-212,NIH-235 5/5,,,,DRRM-H Office,
594,NICER Project: Simulation-based Learning Laboratory,COMBI Blinds (13sq. Ft.),,,NIH2021-212,NIH-236,,,,DRRM-H Office,
595,NICER Project: Simulation-based Learning Laboratory,Storage box 95L,,,NIH2019-0328,NIH2160 1/5,,,,Stock Room,
