Arrangement,DRRMH-H-07 1/7,Description,Serial Number,Inventory Item Number,PAR/ICS Number,UPM Property Number,DOST Property Number,DOST-UPM PTR Number,UPS-UPM PTR Number,Specific Location,Remarks
79,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 21/150,,,,Stock Room,
80,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 22/150,,,,Stock Room,
81,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 23/150,,,,Stock Room,
82,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 24/150,,,,Stock Room,
83,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 25/150,,,,Stock Room,
84,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 26/150,,,,Stock Room,
85,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 27/150,,,,Stock Room,
86,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 28/150,,,,Stock Room,
87,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 29/150,,,,Stock Room,
88,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 30/150,,,,Stock Room,
89,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 31/150,,,,Stock Room,
90,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 32/150,,,,Stock Room,
91,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 33/150,,,,Stock Room,
92,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 34/150,,,,Stock Room,
93,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 35/150,,,,Stock Room,
94,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 36/150,,,,Stock Room,
95,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 37/150,,,,Stock Room,
96,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 38/150,,,,Stock Room,
97,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05 39/150,,,,Stock Room,
98,NICER Project: Simulation-based Learning Laboratory,Whistle,,,DRRM2024-001,DRRM-L-05  40/150,,,,Stock Room,
